Timestamp, X_Position, Y_Position, Z_Position, Q0_Rotation, Q1_Rotation, Q2_Rotation, Q3_Rotation, X_Velocity, Y_Velocity, Z_Velocity, X_Accel, Y_Accel, Z_Accel
20267,0.04205078,1.164558,-0.05610578,-0.0083755,0.01200673,0.007210501,0.9998668,0,0,0,0,0,0
20284,0.04205453,1.164526,-0.05601916,-0.008333195,0.01225664,0.007104297,0.9998649,0,0,0,0,0,0
20296,0.0421229,1.164516,-0.05586415,-0.008078226,0.01230488,0.0069993,0.9998672,0,0,0,0,0,0
20309,0.04214317,1.16448,-0.05577308,-0.007919948,0.01251514,0.007100064,0.9998651,0,0,0,0,0,0
20323,0.04209331,1.164405,-0.0557106,-0.007732541,0.01250058,0.00702534,0.9998674,0,0,0,0,0,0
20338,0.04195017,1.164359,-0.05565459,-0.007532614,0.01223452,0.006785827,0.9998738,0,0,0,0,0,0
20350,0.04182493,1.164344,-0.05555224,-0.007664104,0.01225367,0.006759854,0.9998727,0,0,0,0,0,0
20365,0.04175988,1.16441,-0.05542022,-0.007984497,0.01222759,0.006918557,0.9998695,0,0,0,0,0,0
20378,0.04170202,1.164454,-0.05530225,-0.008245879,0.01207888,0.007039376,0.9998683,0,0,0,0,0,0
20391,0.041561,1.164439,-0.05520348,-0.008210167,0.01203464,0.007064871,0.9998689,0,0,0,0,0,0
20419,0.04134283,1.16427,-0.05521741,-0.007401502,0.01177418,0.007614687,0.9998743,0,0,0,0,0,0
20432,0.04114334,1.164246,-0.05512827,-0.006750736,0.01169877,0.00798013,0.9998769,0,0,0,0,0,0
20446,0.04104067,1.16432,-0.05505901,-0.007369321,0.0114557,0.008283032,0.9998729,0,0,0,0,0,0
20460,0.04091736,1.16445,-0.05494576,-0.008119602,0.01105412,0.008399546,0.9998707,0,0,0,0,0,0
20476,0.04067148,1.164717,-0.05464583,-0.01016855,0.01035458,0.008744312,0.9998565,0,0,0,0,0,0
20502,0.04045575,1.164966,-0.05433602,-0.01087611,0.01008322,0.007395266,0.9998627,0,0,0,0,0,0
20529,0.04023046,1.164796,-0.05418188,-0.008877749,0.01042696,0.007663286,0.9998769,0,0,0,0,0,0
20558,0.03997315,1.164422,-0.05403574,-0.007130693,0.01120913,0.007768705,0.9998816,0,0,0,0,0,0
20582,0.0396922,1.164406,-0.05384931,-0.007065012,0.01142413,0.008675026,0.9998722,0,0,0,0,0,0
20605,0.03915115,1.164485,-0.05358349,-0.007716868,0.01119395,0.008818307,0.9998687,0,0,0,0,0,0
20631,0.03897222,1.164574,-0.05352053,-0.008297987,0.0107199,0.009127698,0.9998665,0,0,0,0,0,0
20655,0.03843272,1.164473,-0.05337562,-0.007124169,0.01018141,0.009350039,0.9998791,0,0,0,0,0,0
20679,0.03779189,1.164176,-0.05332898,-0.005938675,0.009494013,0.009711142,0.9998901,0,0,0,0,0,0
20704,0.0373019,1.164111,-0.05324214,-0.005960958,0.008830673,0.01123294,0.9998802,0,0,0,0,0,0
20732,0.0368759,1.164338,-0.05306236,-0.007377583,0.008821307,0.01053451,0.9998784,0,0,0,0,0,0
20761,0.03665519,1.164481,-0.0528886,-0.007515978,0.009194984,0.01044104,0.999875,0,0,0,0,0,0
20789,0.03650129,1.164348,-0.05276262,-0.006993851,0.01019988,0.01049942,0.9998684,0,0,0,0,0,0
20818,0.03622975,1.164046,-0.05281591,-0.005440796,0.01044816,0.01111845,0.9998688,0,0,0,0,0,0
20845,0.03604885,1.164061,-0.05279373,-0.006205033,0.01026635,0.01088217,0.9998689,0,0,0,0,0,0
20874,0.03572913,1.164144,-0.05278744,-0.006612212,0.01014137,0.01088261,0.9998675,0,0,0,0,0,0
20902,0.03553077,1.164027,-0.05296402,-0.006528763,0.01030237,0.01102442,0.9998649,0,0,0,0,0,0
20930,0.03542439,1.163696,-0.05365102,-0.004048984,0.01042126,0.01156848,0.9998706,0,0,0,0,0,0
20961,0.03511726,1.163551,-0.05449292,-0.00442764,0.01068183,0.009649589,0.9998866,0,0,0,0,0,0
20988,0.0348523,1.163916,-0.05519828,-0.006412887,0.01136713,0.01217469,0.9998407,0,0,0,0,0,0
21017,0.03464547,1.163387,-0.05598759,-0.006886257,0.01074042,0.01441882,0.9998146,0,0,0,0,0,0
21044,0.03483044,1.162933,-0.05710668,-0.004515709,0.01041148,0.01333013,0.9998468,0,0,0,0,0,0
21072,0.03507729,1.163076,-0.05814631,-0.00145843,0.01066626,0.01313371,0.9998558,0,0,0,0,0,0
21101,0.0357444,1.163341,-0.05905999,-0.002979478,0.0101018,0.01515094,0.9998298,0,0,0,0,0,0
21128,0.03650786,1.163002,-0.06011754,-0.004433767,0.01055008,0.01381913,0.9998391,0,0,0,0,0,0
21157,0.03739245,1.162795,-0.06157218,-0.001869178,0.01163306,0.01247832,0.9998527,0,0,0,0,0,0
21184,0.0379779,1.163142,-0.06229789,-0.001609413,0.01299085,0.01097358,0.9998541,0,0,0,0,0,0
21213,0.03823178,1.162846,-0.06311717,-0.003054324,0.0140102,0.01129595,0.9998334,0,0,0,0,0,0
21242,0.03819528,1.162983,-0.06429017,-0.0004754608,0.01361396,0.01316231,0.9998206,0,0,0,0,0,0
21269,0.03804458,1.163158,-0.0650859,-0.001450263,0.01077395,0.01456083,0.9998349,0,0,0,0,0,0
21298,0.0378668,1.162696,-0.06588234,-0.002738441,0.006882639,0.01475244,0.9998637,0,0,0,0,0,0
21325,0.03782583,1.161985,-0.06698643,-0.001462496,0.00364467,0.01383471,0.9998966,0,0,0,0,0,0
21354,0.03805079,1.161613,-0.06806094,0.001267151,0.001950171,0.01505802,0.999884,0,0,0,0,0,0
21381,0.03817585,1.16212,-0.06839696,0.0003266502,0.001634169,0.01627321,0.9998662,0,0,0,0,0,0
21409,0.03819935,1.162425,-0.06868605,-0.00251192,0.001909275,0.01594564,0.999868,0,0,0,0,0,0
21438,0.03826123,1.162301,-0.06905463,-0.003189938,0.001923866,0.01536599,0.999875,0,0,0,0,0,0
21466,0.03833462,1.162394,-0.06951426,-0.002796209,0.001252343,0.01564071,0.999873,0,0,0,0,0,0
21481,0.03827248,1.162358,-0.06948163,-0.003191095,0.0009262837,0.01538897,0.9998761,0,0,0,0,0,0
21492,0.03825768,1.162328,-0.06929576,-0.002872776,0.0009725012,0.01517177,0.9998803,0,0,0,0,0,0
21507,0.03828916,1.162259,-0.06928042,-0.002923487,0.0006137218,0.01539951,0.999877,0,0,0,0,0,0
21521,0.03833258,1.162117,-0.06941339,-0.002988617,-8.721415E-05,0.01540309,0.9998769,0,0,0,0,0,0
21534,0.03832717,1.161913,-0.06943954,-0.002087827,-0.0005273371,0.01508784,0.9998839,0,0,0,0,0,0
21561,0.03829311,1.161659,-0.0695139,-0.0009384554,-0.001069067,0.01405767,0.9999002,0,0,0,0,0,0
21575,0.03831175,1.161423,-0.06972449,-0.000361178,-0.00146815,0.01346765,0.9999082,0,0,0,0,0,0
21590,0.03840747,1.161338,-0.06983231,-0.0003874702,-0.001333781,0.01358379,0.9999068,0,0,0,0,0,0
21616,0.03869392,1.161091,-0.07008605,-0.001416925,-0.0001999607,0.01368544,0.9999053,0,0,0,0,0,0
21644,0.0390452,1.160962,-0.07052542,-0.0007576874,0.001505784,0.01247907,0.9999207,0,0,0,0,0,0
21672,0.0395078,1.160952,-0.07111434,-0.0009790733,0.003912339,0.01190254,0.999921,0,0,0,0,0,0
21696,0.0396623,1.161065,-0.07140534,-0.002453981,0.00458986,0.01219545,0.9999121,0,0,0,0,0,0
21724,0.03959676,1.161103,-0.07168261,-0.003055213,0.003677995,0.01342714,0.9998984,0,0,0,0,0,0
21753,0.03950284,1.161206,-0.07196224,-0.003933351,0.001082646,0.01329344,0.9999033,0,0,0,0,0,0
21782,0.039528,1.161094,-0.07214326,-0.003554172,-0.001455158,0.01235087,0.9999164,0,0,0,0,0,0
21810,0.04017,1.160519,-0.07197703,-0.001532893,-0.002085569,0.01164265,0.9999289,0,0,0,0,0,0
21839,0.04099481,1.159949,-0.07170142,0.001197811,-0.0006792087,0.01097064,0.9999389,0,0,0,0,0,0
21868,0.04211751,1.159229,-0.07173882,0.00407158,0.0008834467,0.008888601,0.9999518,0,0,0,0,0,0
21897,0.0426907,1.159135,-0.07189149,0.005230352,0.003471744,0.007501815,0.9999522,0,0,0,0,0,0
21925,0.04304707,1.159438,-0.07207149,0.005167813,0.005962123,0.006468164,0.999948,0,0,0,0,0,0
21955,0.04312226,1.159554,-0.072199,0.004032643,0.008379526,0.007716625,0.999927,0,0,0,0,0,0
21981,0.04342907,1.159527,-0.07241467,0.002682206,0.008392342,0.009773209,0.9999135,0,0,0,0,0,0
22008,0.04317692,1.159715,-0.07267135,0.001386245,0.006924055,0.009763734,0.9999274,0,0,0,0,0,0
22036,0.04285419,1.159912,-0.07296953,0.001296373,0.005289569,0.01034776,0.9999316,0,0,0,0,0,0
22063,0.04274892,1.16022,-0.07304671,0.000106867,0.004397316,0.01018665,0.9999385,0,0,0,0,0,0
22091,0.04278147,1.160544,-0.07292363,-0.001945021,0.004434787,0.01034671,0.9999348,0,0,0,0,0,0
22120,0.04284291,1.160604,-0.07286086,-0.001447648,0.004498845,0.01129455,0.9999251,0,0,0,0,0,0
22148,0.04288911,1.160527,-0.07284339,-0.001161765,0.004091879,0.01166138,0.999923,0,0,0,0,0,0
22177,0.04297124,1.16058,-0.07273913,-0.002152414,0.003895445,0.0116945,0.9999217,0,0,0,0,0,0
