Timestamp, X_Position, Y_Position, Z_Position, Q0_Rotation, Q1_Rotation, Q2_Rotation, Q3_Rotation, X_Velocity, Y_Velocity, Z_Velocity, X_Accel, Y_Accel, Z_Accel, Trigger, Grip
34108,0.04742057,1.099868,0.5612766,-0.4119755,-0.005076725,-0.0282362,0.9107432,-0.03755829,0.003222641,-0.001698544,0,0,0,False,True
34137,0.04625294,1.099984,0.5615438,-0.411114,-0.007698339,-0.02825616,0.9111134,-0.04399749,0.002950471,0.002909958,0,0,0,False,True
34164,0.04459443,1.100146,0.5615634,-0.409611,-0.007170898,-0.02236705,0.9119579,-0.04636819,0.002242917,0.003195193,0,0,0,False,True
34192,0.04452058,1.100154,0.5616232,-0.4094881,-0.007330683,-0.02320913,0.9119908,-0.03857515,0.002714085,0.002799187,0,0,0,False,True
34221,0.0437569,1.100124,0.5615284,-0.411063,-0.008216506,-0.02722711,0.9111633,-0.02252338,0.002583548,-0.004220109,0,0,0,False,True
34249,0.0432114,1.100051,0.5616727,-0.4097821,-0.008630711,-0.02515994,0.9117956,-0.03308759,-0.002418821,0.003386226,0,0,0,False,True
34275,0.04255069,1.09998,0.5617323,-0.4091675,-0.00850957,-0.02451877,0.9120901,-0.02829557,-0.003308392,0.003215457,0,0,0,False,True
34301,0.04225243,1.09995,0.5617259,-0.4094291,-0.008454951,-0.02432178,0.9119785,-0.01938104,-0.001828117,-0.001132472,0,0,0,False,True
34330,0.04182886,1.099841,0.5618476,-0.4097393,-0.007747978,-0.02467555,0.911836,-0.009357687,-0.001066318,-0.003653729,0,0,0,False,True
34359,0.04138704,1.099847,0.5619379,-0.4101666,-0.009346324,-0.0260165,0.9115916,-0.01530059,0.001394743,-0.0002228052,0,0,0,False,True
34387,0.04072635,1.099911,0.5620188,-0.4103676,-0.01040515,-0.02486961,0.9115217,-0.02411298,0.002575347,-0.0001090216,0,0,0,False,True
34416,0.04030205,1.099807,0.5621555,-0.410253,-0.01097706,-0.024491,0.9115767,-0.02157678,-0.003631557,0.002946628,0,0,0,False,True
34443,0.03999361,1.09957,0.5622937,-0.4104329,-0.01114257,-0.02402899,0.9115061,-0.01430111,-0.008409793,0.002179075,0,0,0,False,True
34471,0.0397899,1.099247,0.5625877,-0.4112507,-0.01116071,-0.02465072,0.9111205,-0.007241322,-0.007306547,0.0001199972,0,0,0,False,True
